logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
SPON2	-1.32266232153096	-1.8154693594769	-0.829855283585014	5.34435457815862	-5.49664753614542	7.04281304891289e-06	0.000809600435806225	3.81252926774606
TAPBPL	-0.892792793191292	-1.22610634916072	-0.559479237221867	5.75150711557878	-5.48559206003031	7.25847651057897e-06	0.000826806460705041	3.78393829504516
EGFL7	-1.38215475796481	-1.8985336774754	-0.865775838454219	1.52939063996078	-5.48168376236949	7.33629632665708e-06	0.000828142279036155	3.77382961082622
LOXL1	-1.67499164481914	-2.30173531101868	-1.04824797861959	5.03921256952819	-5.47329051066937	7.50626625451671e-06	0.000839763537224057	3.75211849327219
GGT5	-1.73823699961093	-2.3894969216438	-1.08697707757807	6.57236596878725	-5.46613616354461	7.65427111760909e-06	0.000844904363601686	3.73360970514103
NPM1	-0.537110797327808	-0.738620620862722	-0.335600973792894	8.36546518966985	-5.45875332027272	7.81008099445926e-06	0.000844904363601686	3.71450751333151
COMMD1	-0.378030256518834	-0.519861859027285	-0.236198654010384	5.80321342605856	-5.45857598238485	7.81386256156974e-06	0.000844904363601686	3.71404864548169
DNAJB1	-1.53367032065637	-2.10912162286827	-0.958219018444465	7.43232227792112	-5.45819748458153	7.82193983861098e-06	0.000844904363601686	3.71306926509438
PSMB9	-1.47679780716784	-2.03164645566244	-0.921949158673245	7.07010527549226	-5.45095146586165	7.9782017217345e-06	0.000854417671566951	3.69431871711078
SLC39A14	0.790010851653941	0.492737738255378	1.0872839650525	6.75934619466542	5.44256010785234	8.16309014798414e-06	0.000865048148457663	3.67260168709786
WLS	-1.00858227542432	-1.38826525518241	-0.628899295666239	5.68654085922621	-5.44021434576381	8.21554107473758e-06	0.000865048148457663	3.66653029179145
IL32	-2.41576900651717	-3.32581997738489	-1.50571803564945	3.97872746126693	-5.43645123391401	8.30039251096693e-06	0.00086669931802013	3.65678999607247
BTN2A1	-0.531308700526166	-0.732222232217959	-0.330395168834374	3.67850490964516	-5.41581160932312	8.78169469460815e-06	0.000907507144157268	3.60335732013013
EFTUD1	0.935733963688808	0.58173997227906	1.28972795509856	3.46437335785316	5.41355198330777	8.83606317535409e-06	0.000907507144157268	3.59750651916017
APP	0.628410667761712	0.390170258696371	0.866651076827053	6.32153891491203	5.40199193777853	9.11954619039174e-06	0.000929007428988687	3.56757136319668
HCP5B	-1.08525174138996	-1.49739383092841	-0.673109651851516	1.59047057199897	-5.39273813082248	9.35304840938673e-06	0.000941724471611713	3.54360477129527
POLR1D	-0.461340045662983	-0.636594316295469	-0.286085775030498	5.49874579640249	-5.39111198807576	9.39469744225572e-06	0.000941724471611713	3.53939287889967
SUSD2	-1.55293018191424	-2.14324501385389	-0.962615349974601	2.92211705908299	-5.3875838750634	9.48570202659892e-06	0.00094330036820067	3.53025434735798
HLA.DMB	-2.49591869518047	-3.44566144205698	-1.54617594830395	2.68683311141713	-5.38208134428231	9.62940647508985e-06	0.000945547264380652	3.51600079841786
RBMS3	-0.831302452384641	-1.1476947564098	-0.514910148359476	5.22326929580149	-5.38095003563109	9.65922185480634e-06	0.000945547264380652	3.51307016831316
C3	-1.90304696559638	-2.62810285950136	-1.1779910716914	6.87000379341676	-5.37531386829704	9.80914975615118e-06	0.0009527802049967	3.49846914416335
MAP4K4	-1.18239230250578	-1.63333828514136	-0.731446319870205	2.85505367057854	-5.36985897634207	9.95648196690362e-06	0.000959651684963864	3.48433670033002
RPS19	-0.602245000021843	-0.832273013706159	-0.372216986337527	10.5937975032159	-5.36189472312672	1.01755922371083e-05	0.000962075117388073	3.46370125573568
PRG4	2.45053541167491	1.51429097195725	3.38677985139256	13.1618819159524	5.36040421609573	1.02171336314888e-05	0.000962075117388073	3.45983910729739
VCAM1	1.10829009855945	0.684847424771157	1.53173277234773	8.87720435463758	5.36024498097937	1.02215816779145e-05	0.000962075117388073	3.45942649866922
RRN3P1	-0.59863829124507	-0.827461383309774	-0.369815199180367	3.35841039299109	-5.3578487755748	1.0288752252993e-05	0.000962075117388073	3.4532173725881
CH507.254M2.2	-1.81600395704698	-2.51063959480671	-1.12136831928724	1.86565073366143	-5.35408841536212	1.03950579955712e-05	0.000963113965415158	3.44347302882404
CYB5R1	0.626493906154972	0.386763143943664	0.866224668366281	5.95336338455753	5.35203436918208	1.0453591324538e-05	0.000963113965415158	3.4381501202204
HDX	-0.975407679916533	-1.34908197621014	-0.601733383622921	1.8041788105305	-5.34587444128892	1.06311211115502e-05	0.000972320784873901	3.42218631960715
